cosine,compression_sim,levenshtein_tok,composite,repetition
0.8027748995164816,0.5531914893617021,0.4666666666666667,0.5991905993430894,0.7142857142857143
0.9895376847494674,0.8928571428571429,0.9666666666666667,0.7285197271668288,0.8214285714285714
1.0,0.9259259259259259,1.0,0.7287624926513816,0.8214285714285714
1.0,0.9259259259259259,1.0,0.7287624926513816,0.8214285714285714
1.0,0.9259259259259259,1.0,0.7287624926513816,0.8214285714285714
1.0,0.9259259259259259,1.0,0.7287624926513816,0.8214285714285714
1.0,0.9259259259259259,1.0,0.7287624926513816,0.8214285714285714
1.0,0.9259259259259259,1.0,0.7287624926513816,0.8214285714285714
1.0,0.9259259259259259,1.0,0.7287624926513816,0.8214285714285714
1.0,0.9259259259259259,1.0,0.7287624926513816,0.8214285714285714
1.0,0.9259259259259259,1.0,0.7287624926513816,0.8214285714285714
1.0,0.9259259259259259,1.0,0.7287624926513816,0.8214285714285714
1.0,0.9259259259259259,1.0,0.7287624926513816,0.8214285714285714
0.9901797391474618,0.9259259259259259,0.9333333333333333,0.7246512326516087,0.8214285714285714
